Name,SUBDIVISION,YEAR,ANNUAL
ROW87,Andaman & Nicobar Islands,1992,2098.6
ROW88,Andaman & Nicobar Islands,1993,2237.4
ROW89,Andaman & Nicobar Islands,1994,3263.1
ROW90,Andaman & Nicobar Islands,1995,3115.5
ROW91,Andaman & Nicobar Islands,1996,2996.9
ROW92,Andaman & Nicobar Islands,1997,2755.1
ROW93,Andaman & Nicobar Islands,1998,2846.4
ROW94,Andaman & Nicobar Islands,1999,2699.7
ROW95,Andaman & Nicobar Islands,2000,2763.1
ROW96,Andaman & Nicobar Islands,2001,3080.8
ROW97,Andaman & Nicobar Islands,2002,2620.1
ROW98,Andaman & Nicobar Islands,2003,2355.7
ROW99,Andaman & Nicobar Islands,2004,2460
ROW100,Andaman & Nicobar Islands,2005,2954.5
ROW101,Andaman & Nicobar Islands,2006,2404.7
ROW102,Andaman & Nicobar Islands,2007,2748.2
ROW103,Andaman & Nicobar Islands,2008,3374.9
ROW104,Andaman & Nicobar Islands,2009,2538.6
ROW105,Andaman & Nicobar Islands,2010,3157.1
ROW106,Andaman & Nicobar Islands,2011,3828
ROW107,Andaman & Nicobar Islands,2012,3497.6
ROW108,Andaman & Nicobar Islands,2013,3757.7
ROW109,Andaman & Nicobar Islands,2014,2622.5
ROW110,Andaman & Nicobar Islands,2015,2904.5
ROW111,Andaman & Nicobar Islands,2016,2851.9
ROW112,Andaman & Nicobar Islands,2017,2890
ROW113,Arunachal Pradesh,1916,3519.004035
ROW114,Arunachal Pradesh,1917,3626.395503
ROW115,Arunachal Pradesh,1918,5486.3
ROW116,Arunachal Pradesh,1919,4693.9
ROW117,Arunachal Pradesh,1920,4106.7
ROW118,Arunachal Pradesh,1921,5691.4
ROW119,Arunachal Pradesh,1922,4187.2
ROW120,Arunachal Pradesh,1923,3507.5
ROW121,Arunachal Pradesh,1924,4450.5
ROW122,Arunachal Pradesh,1925,4439.8
ROW123,Arunachal Pradesh,1926,3521.6
ROW124,Arunachal Pradesh,1927,5253.2
ROW125,Arunachal Pradesh,1928,5272.7
ROW126,Arunachal Pradesh,1929,4320.1
ROW127,Arunachal Pradesh,1930,4334.3
ROW128,Arunachal Pradesh,1931,4872.1
ROW129,Arunachal Pradesh,1932,4850.9
ROW130,Arunachal Pradesh,1933,3773.4
ROW131,Arunachal Pradesh,1934,4575.6
ROW132,Arunachal Pradesh,1935,4173.5
ROW133,Arunachal Pradesh,1936,4788.7
ROW134,Arunachal Pradesh,1937,3375.1
ROW135,Arunachal Pradesh,1938,6129.1
ROW136,Arunachal Pradesh,1939,3898.6
ROW137,Arunachal Pradesh,1940,4099.5
ROW138,Arunachal Pradesh,1941,4220.2
ROW139,Arunachal Pradesh,1942,3828.3
ROW140,Arunachal Pradesh,1943,4326.6
ROW141,Arunachal Pradesh,1944,3904.3
ROW142,Arunachal Pradesh,1945,3649.2
ROW143,Arunachal Pradesh,1946,4011.2
ROW144,Arunachal Pradesh,1947,4369.1
ROW145,Arunachal Pradesh,1948,6331.1
ROW146,Arunachal Pradesh,1949,4874.8
ROW147,Arunachal Pradesh,1950,2621.247704
ROW148,Arunachal Pradesh,1951,3354.3
ROW149,Arunachal Pradesh,1952,2396.1
ROW150,Arunachal Pradesh,1953,2675.714713
ROW151,Arunachal Pradesh,1957,3843.937649
ROW152,Arunachal Pradesh,1958,5063.5
ROW153,Arunachal Pradesh,1959,4195.5
ROW154,Arunachal Pradesh,1960,3709.4
ROW155,Arunachal Pradesh,1961,3676.5
ROW156,Arunachal Pradesh,1962,4810.825542
ROW157,Arunachal Pradesh,1963,4138
ROW158,Arunachal Pradesh,1964,4959.3
ROW159,Arunachal Pradesh,1965,2196.8
ROW160,Arunachal Pradesh,1966,2209.7
ROW161,Arunachal Pradesh,1967,1668.5
ROW162,Arunachal Pradesh,1968,2138.9
ROW163,Arunachal Pradesh,1969,1877.8
ROW164,Arunachal Pradesh,1970,1973.4
ROW165,Arunachal Pradesh,1971,2184.6
ROW166,Arunachal Pradesh,1972,2281.3
ROW167,Arunachal Pradesh,1973,2457.6
ROW168,Arunachal Pradesh,1974,3064
ROW169,Arunachal Pradesh,1975,2213.4
ROW170,Arunachal Pradesh,1976,2419.6
ROW171,Arunachal Pradesh,1977,3774.4
ROW172,Arunachal Pradesh,1978,2531
ROW173,Arunachal Pradesh,1979,2773.7
ROW174,Arunachal Pradesh,1980,3215.4
ROW175,Arunachal Pradesh,1981,2790.8
ROW176,Arunachal Pradesh,1982,2779.4
ROW177,Arunachal Pradesh,1983,3335.1
ROW178,Arunachal Pradesh,1984,3278.1
ROW179,Arunachal Pradesh,1985,3266.4
ROW180,Arunachal Pradesh,1986,2495.6
ROW181,Arunachal Pradesh,1987,3433.3
ROW182,Arunachal Pradesh,1988,4155.4
ROW183,Arunachal Pradesh,1989,3281.7
ROW184,Arunachal Pradesh,1990,3604.1
ROW185,Arunachal Pradesh,1991,3434.5
ROW186,Arunachal Pradesh,1992,2706.8
ROW187,Arunachal Pradesh,1993,3348.9
ROW188,Arunachal Pradesh,1994,2287.3
ROW189,Arunachal Pradesh,1995,3068.8
ROW190,Arunachal Pradesh,1996,2520.6
ROW191,Arunachal Pradesh,1997,2274.9
ROW192,Arunachal Pradesh,1998,3616.7
ROW193,Arunachal Pradesh,1999,2316.7
ROW194,Arunachal Pradesh,2000,2596.9
ROW195,Arunachal Pradesh,2001,2035.9
ROW196,Arunachal Pradesh,2002,2389.3
ROW197,Arunachal Pradesh,2003,2451.7
ROW198,Arunachal Pradesh,2004,2545.8
ROW199,Arunachal Pradesh,2005,2335.5
ROW200,Arunachal Pradesh,2006,2259.4
ROW201,Arunachal Pradesh,2007,3020.6
ROW202,Arunachal Pradesh,2008,2244.5
ROW203,Arunachal Pradesh,2009,1750
ROW204,Arunachal Pradesh,2010,2855.6
ROW205,Arunachal Pradesh,2011,2193.6
ROW206,Arunachal Pradesh,2012,3440.5
ROW207,Arunachal Pradesh,2013,2042.9
ROW208,Arunachal Pradesh,2014,2403.1
ROW209,Arunachal Pradesh,2015,2767.5
ROW210,Arunachal Pradesh,2016,2706.8
ROW211,Arunachal Pradesh,2017,2745.5
ROW212,Assam & Meghalaya,1901,2498.7
ROW213,Assam & Meghalaya,1902,2952.1
ROW214,Assam & Meghalaya,1903,2544.6
ROW215,Assam & Meghalaya,1904,2664.2
ROW216,Assam & Meghalaya,1905,2790.7
ROW217,Assam & Meghalaya,1906,2663.2
ROW218,Assam & Meghalaya,1907,2521.3
ROW219,Assam & Meghalaya,1908,2277.8
ROW220,Assam & Meghalaya,1909,2377
ROW221,Assam & Meghalaya,1910,2887.3
ROW222,Assam & Meghalaya,1911,3096.1
ROW223,Assam & Meghalaya,1912,2743.4
ROW224,Assam & Meghalaya,1913,2760.5
ROW225,Assam & Meghalaya,1914,2343.9
ROW226,Assam & Meghalaya,1915,3165.2
ROW227,Assam & Meghalaya,1916,2601
ROW228,Assam & Meghalaya,1917,2520
ROW229,Assam & Meghalaya,1918,3106.8
ROW230,Assam & Meghalaya,1919,2344.1
ROW231,Assam & Meghalaya,1920,2623.7
ROW232,Assam & Meghalaya,1921,2999.5
ROW233,Assam & Meghalaya,1922,2262
ROW234,Assam & Meghalaya,1923,2440.4
ROW235,Assam & Meghalaya,1924,2691.6
ROW236,Assam & Meghalaya,1925,2550.5
ROW237,Assam & Meghalaya,1926,2511.6
ROW238,Assam & Meghalaya,1927,2792.9
ROW239,Assam & Meghalaya,1928,2634.1
ROW240,Assam & Meghalaya,1929,2953.8
ROW241,Assam & Meghalaya,1930,2550.8
ROW242,Assam & Meghalaya,1931,2800.1
ROW243,Assam & Meghalaya,1932,2888.6
ROW244,Assam & Meghalaya,1933,2339.1
ROW245,Assam & Meghalaya,1934,3074.8
ROW246,Assam & Meghalaya,1935,2678.5
ROW247,Assam & Meghalaya,1936,2671.3
ROW248,Assam & Meghalaya,1937,2324.6
ROW249,Assam & Meghalaya,1938,2786.5
ROW250,Assam & Meghalaya,1939,2401.5
ROW251,Assam & Meghalaya,1940,2451.7
ROW252,Assam & Meghalaya,1941,2709.4
ROW253,Assam & Meghalaya,1942,2677.1
ROW254,Assam & Meghalaya,1943,2703.8
ROW255,Assam & Meghalaya,1944,2524.4
ROW256,Assam & Meghalaya,1945,2665.7
ROW257,Assam & Meghalaya,1946,2679.5
ROW258,Assam & Meghalaya,1947,2643.2
ROW259,Assam & Meghalaya,1948,3185.5
ROW260,Assam & Meghalaya,1949,2983.3
ROW261,Assam & Meghalaya,1950,2392.4
ROW262,Assam & Meghalaya,1951,2613.9
ROW263,Assam & Meghalaya,1952,2851.3
ROW264,Assam & Meghalaya,1953,2560
ROW265,Assam & Meghalaya,1954,2859.2
ROW266,Assam & Meghalaya,1955,2761.2
ROW267,Assam & Meghalaya,1956,2802.9
ROW268,Assam & Meghalaya,1957,2257
ROW269,Assam & Meghalaya,1958,2626.5
ROW270,Assam & Meghalaya,1959,2535.7
ROW271,Assam & Meghalaya,1960,2342.2
ROW272,Assam & Meghalaya,1961,2195.4
ROW273,Assam & Meghalaya,1962,2296
ROW274,Assam & Meghalaya,1963,2511.7
ROW275,Assam & Meghalaya,1964,2729.7
ROW276,Assam & Meghalaya,1965,2398.9
ROW277,Assam & Meghalaya,1966,2789.3
ROW278,Assam & Meghalaya,1967,2123.3
ROW279,Assam & Meghalaya,1968,2530.8
ROW280,Assam & Meghalaya,1969,2332.3
ROW281,Assam & Meghalaya,1970,3048.5
ROW282,Assam & Meghalaya,1971,2315.1
ROW283,Assam & Meghalaya,1972,2379.1
ROW284,Assam & Meghalaya,1973,2672.1
ROW285,Assam & Meghalaya,1974,3403.6
ROW286,Assam & Meghalaya,1975,2270.6
ROW287,Assam & Meghalaya,1976,1956
ROW288,Assam & Meghalaya,1977,2616.7
ROW289,Assam & Meghalaya,1978,2011.8
ROW290,Assam & Meghalaya,1979,2188.4
ROW291,Assam & Meghalaya,1980,2289.2
ROW292,Assam & Meghalaya,1981,2079.3
ROW293,Assam & Meghalaya,1982,2382.3
ROW294,Assam & Meghalaya,1983,2620.2
ROW295,Assam & Meghalaya,1984,3156.9
ROW296,Assam & Meghalaya,1985,2801.7
ROW297,Assam & Meghalaya,1986,2592.7
ROW298,Assam & Meghalaya,1987,2921.6
ROW299,Assam & Meghalaya,1988,3261.7
ROW300,Assam & Meghalaya,1989,2682.3
ROW301,Assam & Meghalaya,1990,2771.2
ROW302,Assam & Meghalaya,1991,2838
ROW303,Assam & Meghalaya,1992,2259.7
ROW304,Assam & Meghalaya,1993,2879.2
ROW305,Assam & Meghalaya,1994,2121.3
ROW306,Assam & Meghalaya,1995,2886
ROW307,Assam & Meghalaya,1996,2466.8
ROW308,Assam & Meghalaya,1997,2372.2
ROW309,Assam & Meghalaya,1998,2803.1
ROW310,Assam & Meghalaya,1999,2594.1
ROW311,Assam & Meghalaya,2000,2486.8
ROW312,Assam & Meghalaya,2001,2178.6
ROW313,Assam & Meghalaya,2002,2392.6
ROW314,Assam & Meghalaya,2003,2434.2
ROW315,Assam & Meghalaya,2004,2994.2
ROW316,Assam & Meghalaya,2005,2468.2
ROW317,Assam & Meghalaya,2006,1898.7
ROW318,Assam & Meghalaya,2007,2752.7
ROW319,Assam & Meghalaya,2008,2339.6
ROW320,Assam & Meghalaya,2009,2068.2
ROW321,Assam & Meghalaya,2010,2711.4
ROW322,Assam & Meghalaya,2011,1743.5
ROW323,Assam & Meghalaya,2012,2609.4
ROW324,Assam & Meghalaya,2013,1816.5
ROW325,Assam & Meghalaya,2014,2206.2
ROW326,Assam & Meghalaya,2015,2471
ROW327,Assam & Meghalaya,2016,2266.7
ROW328,Assam & Meghalaya,2017,2711.6
ROW329,Naga Mani Mizo Tripura,1901,2168.3
ROW330,Naga Mani Mizo Tripura,1902,2174.9
ROW331,Naga Mani Mizo Tripura,1903,2230.9
ROW332,Naga Mani Mizo Tripura,1904,2519.6
ROW333,Naga Mani Mizo Tripura,1905,2527.5
ROW334,Naga Mani Mizo Tripura,1906,2514.5
ROW335,Naga Mani Mizo Tripura,1907,2121.8
ROW336,Naga Mani Mizo Tripura,1908,2319.2
ROW337,Naga Mani Mizo Tripura,1909,2308.8
ROW338,Naga Mani Mizo Tripura,1910,2268.1
ROW339,Naga Mani Mizo Tripura,1911,2479.8
ROW340,Naga Mani Mizo Tripura,1912,2308.9
ROW341,Naga Mani Mizo Tripura,1913,2613.1
ROW342,Naga Mani Mizo Tripura,1914,2529.1
ROW343,Naga Mani Mizo Tripura,1915,2819.9
ROW344,Naga Mani Mizo Tripura,1916,2554.9
ROW345,Naga Mani Mizo Tripura,1917,2222.2
ROW346,Naga Mani Mizo Tripura,1918,3013.2
ROW347,Naga Mani Mizo Tripura,1919,2048.1
ROW348,Naga Mani Mizo Tripura,1920,2375.7
ROW349,Naga Mani Mizo Tripura,1921,2638.2
ROW350,Naga Mani Mizo Tripura,1922,2462.7
ROW351,Naga Mani Mizo Tripura,1923,2685.5
ROW352,Naga Mani Mizo Tripura,1924,2701.7
ROW353,Naga Mani Mizo Tripura,1925,2447.4
ROW354,Naga Mani Mizo Tripura,1926,2463.2
ROW355,Naga Mani Mizo Tripura,1927,2887.3
ROW356,Naga Mani Mizo Tripura,1928,2472.4
ROW357,Naga Mani Mizo Tripura,1929,2859.4
ROW358,Naga Mani Mizo Tripura,1930,2487.4
ROW359,Naga Mani Mizo Tripura,1931,2461.2
ROW360,Naga Mani Mizo Tripura,1932,2761.8
ROW361,Naga Mani Mizo Tripura,1933,2451.8
ROW362,Naga Mani Mizo Tripura,1934,3040.8
ROW363,Naga Mani Mizo Tripura,1935,2543.3
ROW364,Naga Mani Mizo Tripura,1936,2917.2
ROW365,Naga Mani Mizo Tripura,1937,2741.7
ROW366,Naga Mani Mizo Tripura,1938,2971.7
ROW367,Naga Mani Mizo Tripura,1939,2608.4
ROW368,Naga Mani Mizo Tripura,1940,2526.9
ROW369,Naga Mani Mizo Tripura,1941,2966.1
ROW370,Naga Mani Mizo Tripura,1942,2680.8
ROW371,Naga Mani Mizo Tripura,1943,2428
ROW372,Naga Mani Mizo Tripura,1944,2877.2
ROW373,Naga Mani Mizo Tripura,1945,3051.8
ROW374,Naga Mani Mizo Tripura,1946,3036.1
ROW375,Naga Mani Mizo Tripura,1947,3210.5
ROW376,Naga Mani Mizo Tripura,1948,2822
ROW377,Naga Mani Mizo Tripura,1949,2976.3
ROW378,Naga Mani Mizo Tripura,1950,2422.9
ROW379,Naga Mani Mizo Tripura,1951,2609.4
ROW380,Naga Mani Mizo Tripura,1952,2810.9
ROW381,Naga Mani Mizo Tripura,1953,2661.7
ROW382,Naga Mani Mizo Tripura,1954,2905
ROW383,Naga Mani Mizo Tripura,1955,2865.3
ROW384,Naga Mani Mizo Tripura,1956,3022.7
ROW385,Naga Mani Mizo Tripura,1957,2303.9
ROW386,Naga Mani Mizo Tripura,1958,1968.5
ROW387,Naga Mani Mizo Tripura,1959,2327.6
ROW388,Naga Mani Mizo Tripura,1960,1800
ROW389,Naga Mani Mizo Tripura,1961,1901.2
ROW390,Naga Mani Mizo Tripura,1962,1822.5
ROW391,Naga Mani Mizo Tripura,1963,2970
ROW392,Naga Mani Mizo Tripura,1964,2328.8
ROW393,Naga Mani Mizo Tripura,1965,2031
ROW394,Naga Mani Mizo Tripura,1966,2478.7
ROW395,Naga Mani Mizo Tripura,1967,2230
ROW396,Naga Mani Mizo Tripura,1968,2110
ROW397,Naga Mani Mizo Tripura,1969,3610.1
ROW398,Naga Mani Mizo Tripura,1970,4316.3
ROW399,Naga Mani Mizo Tripura,1971,3080.9
ROW400,Naga Mani Mizo Tripura,1972,1353.9
ROW401,Naga Mani Mizo Tripura,1973,2106.1
ROW402,Naga Mani Mizo Tripura,1974,2329.6
ROW403,Naga Mani Mizo Tripura,1975,2209.8
ROW404,Naga Mani Mizo Tripura,1976,2651.3
ROW405,Naga Mani Mizo Tripura,1977,2358.6
ROW406,Naga Mani Mizo Tripura,1978,2150.6
ROW407,Naga Mani Mizo Tripura,1979,1749.2
ROW408,Naga Mani Mizo Tripura,1980,2304.9
ROW409,Naga Mani Mizo Tripura,1981,2072.3
ROW410,Naga Mani Mizo Tripura,1982,2027.5
ROW411,Naga Mani Mizo Tripura,1983,2588.1
ROW412,Naga Mani Mizo Tripura,1984,2454
ROW413,Naga Mani Mizo Tripura,1985,2105.3
ROW414,Naga Mani Mizo Tripura,1986,2342.2
ROW415,Naga Mani Mizo Tripura,1987,2361.2
ROW416,Naga Mani Mizo Tripura,1988,2820.2
ROW417,Naga Mani Mizo Tripura,1989,2359.1
ROW418,Naga Mani Mizo Tripura,1990,2582.2
ROW419,Naga Mani Mizo Tripura,1991,2851.9
ROW420,Naga Mani Mizo Tripura,1992,2221.5
ROW421,Naga Mani Mizo Tripura,1993,2881.7
ROW422,Naga Mani Mizo Tripura,1994,1712.5
ROW423,Naga Mani Mizo Tripura,1995,2340.1
ROW424,Naga Mani Mizo Tripura,1996,2194.6
ROW425,Naga Mani Mizo Tripura,1997,2212.1
ROW426,Naga Mani Mizo Tripura,1998,2225.4
ROW427,Naga Mani Mizo Tripura,1999,2232.9
ROW428,Naga Mani Mizo Tripura,2000,2363.9
ROW429,Naga Mani Mizo Tripura,2001,2149.2
ROW430,Naga Mani Mizo Tripura,2002,2242.4
ROW431,Naga Mani Mizo Tripura,2003,2162.3
ROW432,Naga Mani Mizo Tripura,2004,2353.7
ROW433,Naga Mani Mizo Tripura,2005,1836.7
ROW434,Naga Mani Mizo Tripura,2006,1872.2
ROW435,Naga Mani Mizo Tripura,2007,2538.3
ROW436,Naga Mani Mizo Tripura,2008,1748.9
ROW437,Naga Mani Mizo Tripura,2009,1737.7
ROW438,Naga Mani Mizo Tripura,2010,2295.2
ROW439,Naga Mani Mizo Tripura,2011,1892.2
ROW440,Naga Mani Mizo Tripura,2012,1923
ROW441,Naga Mani Mizo Tripura,2013,1557.1
ROW442,Naga Mani Mizo Tripura,2014,1599.9
ROW443,Naga Mani Mizo Tripura,2015,1922.2
ROW444,Naga Mani Mizo Tripura,2016,1956.4
ROW445,Naga Mani Mizo Tripura,2017,2805.3
ROW446,Sub Himalayan West Bengal & Sikkim,1901,2113.1
ROW447,Sub Himalayan West Bengal & Sikkim,1902,3180.3
ROW448,Sub Himalayan West Bengal & Sikkim,1903,2404.3
ROW449,Sub Himalayan West Bengal & Sikkim,1904,2169.9
ROW450,Sub Himalayan West Bengal & Sikkim,1905,3005
ROW451,Sub Himalayan West Bengal & Sikkim,1906,2617.9
ROW452,Sub Himalayan West Bengal & Sikkim,1907,2530
ROW453,Sub Himalayan West Bengal & Sikkim,1908,1988.2
ROW454,Sub Himalayan West Bengal & Sikkim,1909,2670.2
ROW455,Sub Himalayan West Bengal & Sikkim,1910,3046.1
ROW456,Sub Himalayan West Bengal & Sikkim,1911,3194.1
ROW457,Sub Himalayan West Bengal & Sikkim,1912,2793.7
ROW458,Sub Himalayan West Bengal & Sikkim,1913,2934.9
ROW459,Sub Himalayan West Bengal & Sikkim,1914,2414.3
ROW460,Sub Himalayan West Bengal & Sikkim,1915,2505
ROW461,Sub Himalayan West Bengal & Sikkim,1916,3476.8
ROW462,Sub Himalayan West Bengal & Sikkim,1917,2841.8
ROW463,Sub Himalayan West Bengal & Sikkim,1918,2981.7
ROW464,Sub Himalayan West Bengal & Sikkim,1919,2544.4
ROW465,Sub Himalayan West Bengal & Sikkim,1920,2884.1
ROW466,Sub Himalayan West Bengal & Sikkim,1921,3513.3
ROW467,Sub Himalayan West Bengal & Sikkim,1922,3001.7
ROW468,Sub Himalayan West Bengal & Sikkim,1923,2488.9
ROW469,Sub Himalayan West Bengal & Sikkim,1924,2950.8
ROW470,Sub Himalayan West Bengal & Sikkim,1925,2886.5
ROW471,Sub Himalayan West Bengal & Sikkim,1926,2637.6
ROW472,Sub Himalayan West Bengal & Sikkim,1927,2732.2
ROW473,Sub Himalayan West Bengal & Sikkim,1928,2869
ROW474,Sub Himalayan West Bengal & Sikkim,1929,2931.3
ROW475,Sub Himalayan West Bengal & Sikkim,1930,2184.2
ROW476,Sub Himalayan West Bengal & Sikkim,1931,2876.4
ROW477,Sub Himalayan West Bengal & Sikkim,1932,2715.6
ROW478,Sub Himalayan West Bengal & Sikkim,1933,2514.1
ROW479,Sub Himalayan West Bengal & Sikkim,1934,2612.9
ROW480,Sub Himalayan West Bengal & Sikkim,1935,2785.1
ROW481,Sub Himalayan West Bengal & Sikkim,1936,2660.3
ROW482,Sub Himalayan West Bengal & Sikkim,1937,2568.3
ROW483,Sub Himalayan West Bengal & Sikkim,1938,3249.2
ROW484,Sub Himalayan West Bengal & Sikkim,1939,2591
ROW485,Sub Himalayan West Bengal & Sikkim,1940,2320.2
ROW486,Sub Himalayan West Bengal & Sikkim,1941,2717.9
ROW487,Sub Himalayan West Bengal & Sikkim,1942,2365.3
ROW488,Sub Himalayan West Bengal & Sikkim,1943,2917.6
ROW489,Sub Himalayan West Bengal & Sikkim,1944,2583.2
ROW490,Sub Himalayan West Bengal & Sikkim,1945,2755.4
ROW491,Sub Himalayan West Bengal & Sikkim,1946,2768.4
ROW492,Sub Himalayan West Bengal & Sikkim,1947,2534.2
ROW493,Sub Himalayan West Bengal & Sikkim,1948,2936.5
ROW494,Sub Himalayan West Bengal & Sikkim,1949,3287.6
ROW495,Sub Himalayan West Bengal & Sikkim,1950,2762.6
ROW496,Sub Himalayan West Bengal & Sikkim,1951,2683.2
ROW497,Sub Himalayan West Bengal & Sikkim,1952,3270.9
ROW498,Sub Himalayan West Bengal & Sikkim,1953,2594
ROW499,Sub Himalayan West Bengal & Sikkim,1954,3055.7
ROW500,Sub Himalayan West Bengal & Sikkim,1955,2992.8
ROW501,Sub Himalayan West Bengal & Sikkim,1956,2885.4
ROW502,Sub Himalayan West Bengal & Sikkim,1957,2225.5
ROW503,Sub Himalayan West Bengal & Sikkim,1958,2820.2
ROW504,Sub Himalayan West Bengal & Sikkim,1959,2580.2
ROW505,Sub Himalayan West Bengal & Sikkim,1960,2610.4
ROW506,Sub Himalayan West Bengal & Sikkim,1961,2304.2
ROW507,Sub Himalayan West Bengal & Sikkim,1962,2521.8
ROW508,Sub Himalayan West Bengal & Sikkim,1963,2604.8
ROW509,Sub Himalayan West Bengal & Sikkim,1964,2981.5
ROW510,Sub Himalayan West Bengal & Sikkim,1965,2762.8
ROW511,Sub Himalayan West Bengal & Sikkim,1966,2515.4
ROW512,Sub Himalayan West Bengal & Sikkim,1967,2860.5
ROW513,Sub Himalayan West Bengal & Sikkim,1968,3378.8
ROW514,Sub Himalayan West Bengal & Sikkim,1969,2424.8
ROW515,Sub Himalayan West Bengal & Sikkim,1970,2702.2
ROW516,Sub Himalayan West Bengal & Sikkim,1971,3226.9
ROW517,Sub Himalayan West Bengal & Sikkim,1972,2414.6
ROW518,Sub Himalayan West Bengal & Sikkim,1973,2804.6
ROW519,Sub Himalayan West Bengal & Sikkim,1974,3341.5
ROW520,Sub Himalayan West Bengal & Sikkim,1975,2663.8
ROW521,Sub Himalayan West Bengal & Sikkim,1976,2794
